Epoch 001 | learning rate: 0.0500 | Train Loss: 2.0081 | Train Acc: 0.2761 | Valid Loss: 1.8481 | Valid Acc: 0.3590 | Epoch Time: 6.36 s
Epoch 002 | learning rate: 0.0500 | Train Loss: 1.8276 | Train Acc: 0.3520 | Valid Loss: 1.7865 | Valid Acc: 0.3654 | Epoch Time: 6.54 s
Epoch 003 | learning rate: 0.0475 | Train Loss: 1.7363 | Train Acc: 0.3862 | Valid Loss: 1.7077 | Valid Acc: 0.4078 | Epoch Time: 6.33 s
Epoch 004 | learning rate: 0.0475 | Train Loss: 1.6940 | Train Acc: 0.4011 | Valid Loss: 1.7166 | Valid Acc: 0.3820 | Epoch Time: 6.37 s
Epoch 005 | learning rate: 0.0451 | Train Loss: 1.6433 | Train Acc: 0.4216 | Valid Loss: 1.6553 | Valid Acc: 0.4086 | Epoch Time: 6.57 s
Epoch 006 | learning rate: 0.0451 | Train Loss: 1.6103 | Train Acc: 0.4288 | Valid Loss: 1.8089 | Valid Acc: 0.3666 | Epoch Time: 6.32 s
Epoch 007 | learning rate: 0.0429 | Train Loss: 1.5825 | Train Acc: 0.4430 | Valid Loss: 1.5816 | Valid Acc: 0.4454 | Epoch Time: 5.76 s
Epoch 008 | learning rate: 0.0429 | Train Loss: 1.5499 | Train Acc: 0.4523 | Valid Loss: 1.5903 | Valid Acc: 0.4350 | Epoch Time: 5.26 s
Epoch 009 | learning rate: 0.0407 | Train Loss: 1.5264 | Train Acc: 0.4601 | Valid Loss: 1.6016 | Valid Acc: 0.4210 | Epoch Time: 5.85 s
Epoch 010 | learning rate: 0.0407 | Train Loss: 1.5057 | Train Acc: 0.4670 | Valid Loss: 1.5588 | Valid Acc: 0.4454 | Epoch Time: 5.34 s
Epoch 011 | learning rate: 0.0387 | Train Loss: 1.4872 | Train Acc: 0.4751 | Valid Loss: 1.5869 | Valid Acc: 0.4448 | Epoch Time: 5.21 s
Epoch 012 | learning rate: 0.0387 | Train Loss: 1.4635 | Train Acc: 0.4862 | Valid Loss: 1.6113 | Valid Acc: 0.4238 | Epoch Time: 5.38 s
Epoch 013 | learning rate: 0.0368 | Train Loss: 1.4526 | Train Acc: 0.4871 | Valid Loss: 1.4758 | Valid Acc: 0.4874 | Epoch Time: 5.75 s
Epoch 014 | learning rate: 0.0368 | Train Loss: 1.4271 | Train Acc: 0.4974 | Valid Loss: 1.4763 | Valid Acc: 0.4756 | Epoch Time: 5.27 s
Epoch 015 | learning rate: 0.0349 | Train Loss: 1.4143 | Train Acc: 0.5031 | Valid Loss: 1.4849 | Valid Acc: 0.4790 | Epoch Time: 5.23 s
Epoch 016 | learning rate: 0.0349 | Train Loss: 1.4048 | Train Acc: 0.5048 | Valid Loss: 1.4455 | Valid Acc: 0.4848 | Epoch Time: 5.64 s
Epoch 017 | learning rate: 0.0349 | Train Loss: 1.3873 | Train Acc: 0.5114 | Valid Loss: 1.4424 | Valid Acc: 0.4944 | Epoch Time: 6.30 s
Epoch 018 | learning rate: 0.0332 | Train Loss: 1.3696 | Train Acc: 0.5182 | Valid Loss: 1.4112 | Valid Acc: 0.5062 | Epoch Time: 5.98 s
Epoch 019 | learning rate: 0.0332 | Train Loss: 1.3607 | Train Acc: 0.5226 | Valid Loss: 1.4894 | Valid Acc: 0.4640 | Epoch Time: 5.70 s
Epoch 020 | learning rate: 0.0315 | Train Loss: 1.3421 | Train Acc: 0.5300 | Valid Loss: 1.4102 | Valid Acc: 0.5082 | Epoch Time: 5.97 s
Epoch 021 | learning rate: 0.0315 | Train Loss: 1.3352 | Train Acc: 0.5300 | Valid Loss: 1.4179 | Valid Acc: 0.5012 | Epoch Time: 6.22 s
Epoch 022 | learning rate: 0.0299 | Train Loss: 1.3180 | Train Acc: 0.5383 | Valid Loss: 1.3987 | Valid Acc: 0.5116 | Epoch Time: 6.37 s
Epoch 023 | learning rate: 0.0299 | Train Loss: 1.3065 | Train Acc: 0.5410 | Valid Loss: 1.4300 | Valid Acc: 0.4968 | Epoch Time: 6.25 s
Epoch 024 | learning rate: 0.0284 | Train Loss: 1.2962 | Train Acc: 0.5469 | Valid Loss: 1.5058 | Valid Acc: 0.4750 | Epoch Time: 6.39 s
Epoch 025 | learning rate: 0.0284 | Train Loss: 1.2878 | Train Acc: 0.5490 | Valid Loss: 1.3936 | Valid Acc: 0.5012 | Epoch Time: 6.19 s
Epoch 026 | learning rate: 0.0270 | Train Loss: 1.2731 | Train Acc: 0.5538 | Valid Loss: 1.4303 | Valid Acc: 0.4970 | Epoch Time: 5.82 s
Epoch 027 | learning rate: 0.0270 | Train Loss: 1.2606 | Train Acc: 0.5590 | Valid Loss: 1.4007 | Valid Acc: 0.4998 | Epoch Time: 6.24 s
Epoch 028 | learning rate: 0.0257 | Train Loss: 1.2626 | Train Acc: 0.5583 | Valid Loss: 1.3797 | Valid Acc: 0.5140 | Epoch Time: 6.28 s
Epoch 029 | learning rate: 0.0257 | Train Loss: 1.2462 | Train Acc: 0.5635 | Valid Loss: 1.4238 | Valid Acc: 0.4996 | Epoch Time: 5.42 s
Epoch 030 | learning rate: 0.0244 | Train Loss: 1.2349 | Train Acc: 0.5688 | Valid Loss: 1.3931 | Valid Acc: 0.5150 | Epoch Time: 5.98 s
Epoch 031 | learning rate: 0.0244 | Train Loss: 1.2247 | Train Acc: 0.5718 | Valid Loss: 1.4204 | Valid Acc: 0.5024 | Epoch Time: 6.28 s
Epoch 032 | learning rate: 0.0232 | Train Loss: 1.2205 | Train Acc: 0.5749 | Valid Loss: 1.3822 | Valid Acc: 0.5024 | Epoch Time: 6.08 s
Epoch 033 | learning rate: 0.0232 | Train Loss: 1.2086 | Train Acc: 0.5771 | Valid Loss: 1.3947 | Valid Acc: 0.5090 | Epoch Time: 6.32 s
Epoch 034 | learning rate: 0.0232 | Train Loss: 1.2017 | Train Acc: 0.5799 | Valid Loss: 1.3646 | Valid Acc: 0.5164 | Epoch Time: 6.13 s
Epoch 035 | learning rate: 0.0220 | Train Loss: 1.1896 | Train Acc: 0.5862 | Valid Loss: 1.3383 | Valid Acc: 0.5346 | Epoch Time: 6.32 s
Epoch 036 | learning rate: 0.0220 | Train Loss: 1.1836 | Train Acc: 0.5872 | Valid Loss: 1.3488 | Valid Acc: 0.5224 | Epoch Time: 6.21 s
Epoch 037 | learning rate: 0.0209 | Train Loss: 1.1712 | Train Acc: 0.5917 | Valid Loss: 1.3254 | Valid Acc: 0.5286 | Epoch Time: 6.20 s
Epoch 038 | learning rate: 0.0209 | Train Loss: 1.1684 | Train Acc: 0.5950 | Valid Loss: 1.3399 | Valid Acc: 0.5290 | Epoch Time: 6.28 s
Epoch 039 | learning rate: 0.0199 | Train Loss: 1.1550 | Train Acc: 0.5982 | Valid Loss: 1.3339 | Valid Acc: 0.5244 | Epoch Time: 6.43 s
