Epoch 001 | learning rate: 0.0500 | Train Loss: 2.0123 | Train Acc: 0.2700 | Valid Loss: 1.8750 | Valid Acc: 0.3226 | Epoch Time: 4.37 s
Epoch 002 | learning rate: 0.0500 | Train Loss: 1.8321 | Train Acc: 0.3479 | Valid Loss: 1.8730 | Valid Acc: 0.3348 | Epoch Time: 4.51 s
Epoch 003 | learning rate: 0.0475 | Train Loss: 1.7492 | Train Acc: 0.3801 | Valid Loss: 1.7299 | Valid Acc: 0.3770 | Epoch Time: 4.37 s
Epoch 004 | learning rate: 0.0475 | Train Loss: 1.7012 | Train Acc: 0.3978 | Valid Loss: 1.7185 | Valid Acc: 0.3936 | Epoch Time: 3.96 s
Epoch 005 | learning rate: 0.0451 | Train Loss: 1.6549 | Train Acc: 0.4149 | Valid Loss: 1.6887 | Valid Acc: 0.3926 | Epoch Time: 3.30 s
Epoch 006 | learning rate: 0.0451 | Train Loss: 1.6250 | Train Acc: 0.4282 | Valid Loss: 1.6964 | Valid Acc: 0.3926 | Epoch Time: 3.30 s
Epoch 007 | learning rate: 0.0429 | Train Loss: 1.5940 | Train Acc: 0.4374 | Valid Loss: 1.6141 | Valid Acc: 0.4292 | Epoch Time: 3.15 s
Epoch 008 | learning rate: 0.0429 | Train Loss: 1.5735 | Train Acc: 0.4429 | Valid Loss: 1.5928 | Valid Acc: 0.4348 | Epoch Time: 3.11 s
Epoch 009 | learning rate: 0.0407 | Train Loss: 1.5436 | Train Acc: 0.4575 | Valid Loss: 1.5591 | Valid Acc: 0.4482 | Epoch Time: 3.14 s
Epoch 010 | learning rate: 0.0407 | Train Loss: 1.5186 | Train Acc: 0.4644 | Valid Loss: 1.5397 | Valid Acc: 0.4520 | Epoch Time: 3.14 s
Epoch 011 | learning rate: 0.0387 | Train Loss: 1.5075 | Train Acc: 0.4682 | Valid Loss: 1.5211 | Valid Acc: 0.4648 | Epoch Time: 3.74 s
Epoch 012 | learning rate: 0.0387 | Train Loss: 1.4852 | Train Acc: 0.4782 | Valid Loss: 1.5308 | Valid Acc: 0.4614 | Epoch Time: 3.77 s
Epoch 013 | learning rate: 0.0368 | Train Loss: 1.4688 | Train Acc: 0.4821 | Valid Loss: 1.4890 | Valid Acc: 0.4794 | Epoch Time: 3.97 s
Epoch 014 | learning rate: 0.0368 | Train Loss: 1.4472 | Train Acc: 0.4900 | Valid Loss: 1.4849 | Valid Acc: 0.4834 | Epoch Time: 4.15 s
Epoch 015 | learning rate: 0.0349 | Train Loss: 1.4314 | Train Acc: 0.4965 | Valid Loss: 1.4868 | Valid Acc: 0.4736 | Epoch Time: 4.15 s
Epoch 016 | learning rate: 0.0349 | Train Loss: 1.4225 | Train Acc: 0.4982 | Valid Loss: 1.4783 | Valid Acc: 0.4742 | Epoch Time: 4.11 s
Epoch 017 | learning rate: 0.0349 | Train Loss: 1.4106 | Train Acc: 0.5011 | Valid Loss: 1.5061 | Valid Acc: 0.4798 | Epoch Time: 3.96 s
Epoch 018 | learning rate: 0.0332 | Train Loss: 1.3889 | Train Acc: 0.5124 | Valid Loss: 1.4902 | Valid Acc: 0.4744 | Epoch Time: 3.58 s
Epoch 019 | learning rate: 0.0332 | Train Loss: 1.3808 | Train Acc: 0.5115 | Valid Loss: 1.4598 | Valid Acc: 0.4916 | Epoch Time: 3.85 s
Epoch 020 | learning rate: 0.0315 | Train Loss: 1.3651 | Train Acc: 0.5168 | Valid Loss: 1.4471 | Valid Acc: 0.4854 | Epoch Time: 3.16 s
Epoch 021 | learning rate: 0.0315 | Train Loss: 1.3589 | Train Acc: 0.5230 | Valid Loss: 1.4886 | Valid Acc: 0.4806 | Epoch Time: 3.32 s
Epoch 022 | learning rate: 0.0299 | Train Loss: 1.3411 | Train Acc: 0.5287 | Valid Loss: 1.4591 | Valid Acc: 0.4814 | Epoch Time: 3.33 s
Epoch 023 | learning rate: 0.0299 | Train Loss: 1.3334 | Train Acc: 0.5296 | Valid Loss: 1.4149 | Valid Acc: 0.5064 | Epoch Time: 3.50 s
Epoch 024 | learning rate: 0.0284 | Train Loss: 1.3222 | Train Acc: 0.5344 | Valid Loss: 1.4441 | Valid Acc: 0.4998 | Epoch Time: 3.32 s
Epoch 025 | learning rate: 0.0284 | Train Loss: 1.3145 | Train Acc: 0.5377 | Valid Loss: 1.4186 | Valid Acc: 0.5064 | Epoch Time: 4.08 s
Epoch 026 | learning rate: 0.0270 | Train Loss: 1.2997 | Train Acc: 0.5441 | Valid Loss: 1.3943 | Valid Acc: 0.5158 | Epoch Time: 3.92 s
Epoch 027 | learning rate: 0.0270 | Train Loss: 1.2892 | Train Acc: 0.5470 | Valid Loss: 1.3979 | Valid Acc: 0.5148 | Epoch Time: 3.81 s
